idx,wall_time,tf_stamp,gps_rel_x,gps_rel_y,estimate_x,estimate_y,truth_yaw_deg,estimate_yaw_deg,direct_error_m,aligned_error_m,heading_error_deg,yaw_error_deg,event
0,1782015281.5566452,19.96,0.0203283676274566,-0.00012900100059187736,0.011812410639166587,7.314099470097696e-05,0.5339018590958258,0.5339018590958258,0.008518355757578248,0.9740200626694806,,0.0,
1,1782015282.0808446,20.48,0.12660222137483856,0.0018431926004343069,0.12241676889284087,0.0034626614908649,2.8542604377470844,2.936460225027046,0.004487838228605526,0.9572463804151295,,0.08219978727996166,
2,1782015282.59643,20.96,0.23245069645660266,0.008007866923540163,0.22370382421440965,0.010602983140730542,5.364813304321033,5.472494055732225,0.009123727429179971,0.9490464820782516,,0.10768075141119256,
3,1782015283.1139038,21.48,0.33064547711887826,0.02008635176394513,0.3254602846401427,0.025960501629961056,11.801239948786451,11.745840900108163,0.007835295635134049,0.9348687358064497,,0.05539904867828906,
4,1782015283.6181345,21.96,0.43359841133653987,0.0433557576477428,0.423926987868592,0.0494308576153961,14.510217717583227,14.482087927974318,0.011421176450495531,0.9306524483947858,,0.028129789608908454,
5,1782015284.1196678,22.48,0.5344974482636218,0.07099167429631326,0.5287722618863777,0.06799320901160744,18.27558964692683,17.319319797731826,0.006462859515552458,0.9250426802965194,,0.9562698491950021,
6,1782015284.6419907,22.96,0.6309149839463828,0.10432895877725556,0.6210073145641524,0.10075125432947664,23.281333630636738,22.19117426198125,0.010533844583210977,0.9238170677521248,,1.0901593686554893,
7,1782015285.1431656,23.48,0.7259448490639642,0.14723459225211766,0.7196121889176391,0.1454533075775049,26.87313923112556,26.128700472813005,0.006578416193953062,0.9166817301582301,,0.7444387583125536,
8,1782015285.6630428,23.96,0.8169706319074379,0.19587422145647437,0.8067335888729973,0.19168860512731012,31.383243914415367,30.033485134101877,0.011059676041546408,0.9198161784758134,,1.3497587803134903,
9,1782015286.1766376,24.48,0.904971628606404,0.2506683128526461,0.898612361749205,0.24815152859574188,35.38026447623534,34.104486809707595,0.006839186936827417,0.9158330468139926,,1.2757776665277416,
10,1782015286.677983,24.96,0.9885755161984235,0.31258279406771283,0.9794186795268678,0.30702983513674303,38.885233066373814,37.64158662621738,0.010709015394450863,0.9218258382713429,0.11945449441122276,1.2436464401564356,
11,1782015287.182555,25.48,1.0616825640084429,0.3759111997182467,1.054650260791503,0.3741666814004605,48.25596023593323,46.31749183652467,0.007245456003322034,0.9221124771692879,0.08404353552763456,1.9384683994085656,
12,1782015287.7126718,25.96,1.1218021378242469,0.4477977311501391,1.1009174233206651,0.4336569200364486,58.49893866299657,56.09519694786759,0.025221693814040134,0.9462529842131906,,2.4037417151289797,
13,1782015288.7263348,26.96,1.1429425510053548,0.47872752794925066,1.1242164898606906,0.47185669454866036,65.60717058344306,63.436347510435155,0.019946772110102706,0.9448566426030114,,2.1708230730079046,
14,1782015289.2611346,27.48,1.1379762084328817,0.4815580680545404,1.1242198735865963,0.47185460412710356,56.160622664345595,53.292212187614446,0.016834309032276774,0.9421782902701505,,2.8684104767311505,
15,1782015289.7856698,27.96,1.131438739899508,0.4878310812168518,1.1242251382694644,0.47184917145950867,39.652706907978825,36.74125455564389,0.017534465716662978,0.9400827851192025,,2.911452352334934,
16,1782015290.8025067,28.96,1.140167898880783,0.5078462887606365,1.1381565737710397,0.47438894520156005,3.7461877026559254,2.3713223763501854,0.03351774554959149,0.9445953832394266,,1.3748653263057395,
17,1782015291.337931,29.48,1.2254444142223164,0.5089438838877971,1.220755200548393,0.46788775234312124,-5.916325174847514,-8.306714805566353,0.04132305243194696,0.9426506591196228,,2.390389630718838,
18,1782015291.8457735,29.96,1.3136888423757043,0.49445156835082305,1.3240923992675793,0.4799360709019755,-18.99240025685068,-18.887531045495706,0.017858713900781874,0.908858683265972,,0.1048692113549706,
19,1782015292.8525245,30.96,1.4801594361251205,0.4007281124447921,1.4662243534804473,0.4112192890334429,-37.82409321713747,-38.406937672055314,0.017442801223660286,0.8948831382296583,,0.5828444549178476,
20,1782015293.3597975,31.48,1.5519553042890735,0.33661291059200416,1.5381653783980436,0.3413476994418484,-47.184001621598966,-47.28305607952346,0.014580133110939216,0.8802642438861439,,0.09905445792449497,
