wall_elapsed_sec,ros_time_sec,current_waypoint,last_status,diagnosis,issues,map_x,map_y,map_yaw_deg,odom_x,odom_y,static_value,static_status,global_value,global_status,local_value,local_status,local_plan_points,local_plan_inside,local_plan_free,local_plan_lethal,local_plan_unknown,local_plan_status,global_plan_points,global_plan_inside,global_plan_free,global_plan_lethal,global_plan_unknown,global_plan_status,scan_front_min_m,scan_valid_count
15.004,1782021521.1,2,"heading to waypoint #2 (-0.5, -7.3)",ok,,0.525,-5.967,-131.1,0.398,-6.034,0,ok,0,ok,0,ok,39,39,39,0,0,ok,39,39,39,0,0,ok,8.036,517
15.504,1782021521.6,2,"heading to waypoint #2 (-0.5, -7.3)",ok,,0.304,-6.288,-130.9,0.077,-6.323,0,ok,0,ok,0,ok,24,24,24,0,0,ok,24,24,24,0,0,ok,7.908,518
16.004,1782021522.1,2,"heading to waypoint #2 (-0.5, -7.3)",ok,,0.088,-6.596,-129.5,-0.236,-6.594,0,ok,0,ok,0,ok,24,24,24,0,0,ok,24,24,24,0,0,ok,7.797,521
16.504,1782021522.6,2,"heading to waypoint #2 (-0.5, -7.3)",ok,,-0.101,-6.957,-127.6,-0.567,-6.881,0,ok,0,ok,0,ok,9,9,9,0,0,ok,9,9,9,0,0,ok,7.636,522
17.004,1782021523.1,2,"heading to waypoint #2 (-0.5, -7.3)",ok,,-0.25,-7.277,-134.0,-0.887,-7.14,0,ok,0,ok,0,ok,9,9,9,0,0,ok,9,9,9,0,0,ok,7.542,518
17.504,1782021523.6,3,"heading to waypoint #3 (-0.5, -11.3)",ok,,-0.318,-7.415,-128.6,-1.051,-7.236,0,ok,0,ok,0,ok,82,33,33,0,0,ok,82,82,82,0,0,ok,7.602,521
18.004,1782021524.1,3,"heading to waypoint #3 (-0.5, -11.3)",ok,,-0.457,-7.772,-115.1,-1.38,-7.512,0,ok,0,ok,0,ok,82,40,40,0,0,ok,82,82,82,0,0,ok,7.438,519
18.504,1782021524.6,3,"heading to waypoint #3 (-0.5, -11.3)",ok,,-0.515,-8.194,-100.7,-1.634,-7.859,0,ok,0,ok,0,ok,68,34,34,0,0,ok,68,68,68,0,0,ok,7.319,523
19.004,1782021525.1,3,"heading to waypoint #3 (-0.5, -11.3)",ok,,-0.539,-8.524,-100.0,-1.826,-8.2,0,ok,0,ok,0,ok,68,42,42,0,0,ok,68,68,68,0,0,ok,7.248,524
19.504,1782021525.6,3,"heading to waypoint #3 (-0.5, -11.3)",ok,,-0.55,-8.87,-99.1,-2.025,-8.552,0,ok,0,ok,0,ok,51,31,31,0,0,ok,51,51,51,0,0,ok,7.171,524
20.004,1782021526.1,3,"heading to waypoint #3 (-0.5, -11.3)",ok,,-0.572,-9.275,-98.0,-2.24,-8.935,0,ok,0,ok,0,ok,51,38,38,0,0,ok,51,51,51,0,0,ok,7.082,523
20.504,1782021526.6,3,"heading to waypoint #3 (-0.5, -11.3)",ok,,-0.674,-9.59,-98.4,-2.445,-9.328,0,ok,0,ok,0,ok,51,43,43,0,0,ok,51,51,51,0,0,ok,6.995,523
21.005,1782021527.1,3,"heading to waypoint #3 (-0.5, -11.3)",ok,,-0.682,-9.981,-94.8,-2.603,-9.703,0,ok,0,ok,0,ok,35,35,35,0,0,ok,35,35,35,0,0,ok,6.885,524
21.504,1782021527.6,3,"heading to waypoint #3 (-0.5, -11.3)",ok,,-0.633,-10.244,-93.3,-2.77,-10.118,0,ok,0,ok,0,ok,35,35,35,0,0,ok,35,35,35,0,0,ok,6.817,525
22.004,1782021528.1,3,"heading to waypoint #3 (-0.5, -11.3)",ok,,-0.601,-10.606,-92.6,-2.934,-10.526,0,ok,0,ok,0,ok,19,19,19,0,0,ok,19,19,19,0,0,ok,6.716,527
22.504,1782021528.6,3,"heading to waypoint #3 (-0.5, -11.3)",ok,,-0.496,-10.84,-91.3,-3.092,-10.917,0,ok,0,ok,0,ok,19,19,19,0,0,ok,19,19,19,0,0,ok,6.658,528
23.004,1782021529.1,4,"heading to waypoint #4 (-0.5, -12.5)",ok,,-0.462,-10.987,-90.7,-3.185,-11.147,0,ok,0,ok,0,ok,31,31,31,0,0,ok,31,31,31,0,0,ok,6.592,528
23.504,1782021529.6,4,"heading to waypoint #4 (-0.5, -12.5)",ok,,-0.514,-11.159,-92.2,-3.309,-11.434,0,ok,0,ok,0,ok,31,31,31,0,0,ok,31,31,31,0,0,ok,6.536,527
24.004,1782021530.1,4,"heading to waypoint #4 (-0.5, -12.5)",ok,,-0.459,-11.478,-91.9,-3.48,-11.829,0,ok,0,ok,0,ok,31,31,31,0,0,ok,31,31,31,0,0,ok,6.471,528
24.504,1782021530.6,4,"heading to waypoint #4 (-0.5, -12.5)",ok,,-0.346,-11.619,-89.7,-3.641,-12.197,0,ok,0,ok,0,ok,20,20,20,0,0,ok,20,20,20,0,0,ok,6.406,529
25.004,1782021531.1,4,"heading to waypoint #4 (-0.5, -12.5)",ok,,-0.172,-11.899,-93.1,-3.843,-12.575,0,ok,0,ok,0,ok,20,20,20,0,0,ok,20,20,20,0,0,ok,6.341,530
25.504,1782021531.6,5,"heading to waypoint #5 (1.0, -11.4)",ok,,0.084,-11.779,-84.3,-3.88,-12.631,0,ok,0,ok,0,ok,19,19,19,0,0,ok,19,19,19,0,0,ok,6.329,528
26.004,1782021532.1,5,"heading to waypoint #5 (1.0, -11.4)",ok,,0.692,-11.636,-3.1,-3.866,-12.669,0,ok,0,ok,0,ok,19,19,19,0,0,ok,19,19,19,0,0,ok,,511
26.504,1782021532.6,5,"heading to waypoint #5 (1.0, -11.4)",ok,,1.763,-11.6,52.2,-3.862,-12.673,0,ok,0,ok,0,ok,15,15,15,0,0,ok,15,15,15,0,0,ok,8.688,533
27.004,1782021533.1,5,"heading to waypoint #5 (1.0, -11.4)",ok,,2.121,-11.209,117.2,-3.781,-12.598,0,ok,0,ok,0,ok,15,15,15,0,0,ok,15,15,15,0,0,ok,6.301,527
27.504,1782021533.6,5,"heading to waypoint #5 (1.0, -11.4)",ok,,1.989,-10.844,144.2,-3.636,-12.238,0,ok,0,ok,0,ok,15,15,15,0,0,ok,15,15,15,0,0,ok,8.292,525
28.004,1782021534.1,5,"heading to waypoint #5 (1.0, -11.4)",ok,,1.58,-10.694,165.9,-3.62,-11.849,0,ok,0,ok,0,ok,21,21,21,0,0,ok,21,21,21,0,0,ok,7.829,526
28.504,1782021534.6,5,"heading to waypoint #5 (1.0, -11.4)",ok,,1.414,-10.638,-159.6,-3.801,-11.521,0,ok,0,ok,0,ok,21,21,21,0,0,ok,21,21,21,0,0,ok,7.734,524
29.004,1782021535.1,5,"heading to waypoint #5 (1.0, -11.4)",ok,,1.217,-10.712,-144.6,-4.137,-11.291,0,ok,0,ok,0,ok,16,16,16,0,0,ok,16,16,16,0,0,ok,7.44,526
29.504,1782021535.6,5,"heading to waypoint #5 (1.0, -11.4)",ok,,1.014,-10.8,-136.9,-4.51,-11.16,0,ok,0,ok,0,ok,16,16,16,0,0,ok,16,16,16,0,0,ok,7.136,527
30.004,1782021536.1,5,"heading to waypoint #5 (1.0, -11.4)",ok,,0.942,-10.913,-126.8,-4.891,-11.099,0,ok,0,ok,0,ok,10,10,10,0,0,ok,10,10,10,0,0,ok,6.832,529
30.504,1782021536.6,5,"heading to waypoint #5 (1.0, -11.4)",ok,,0.757,-11.118,-116.8,-5.292,-11.135,0,ok,0,ok,0,ok,10,10,10,0,0,ok,10,10,10,0,0,ok,6.526,527
31.004,1782021537.1,5,"heading to waypoint #5 (1.0, -11.4)",ok,,0.936,-11.242,-81.7,-5.612,-11.28,0,ok,0,ok,0,ok,4,4,4,0,0,ok,4,4,4,0,0,ok,6.278,529
