lap,index,x,y,yaw,result,reason,action_status,duration_sec,wall_elapsed_sec,nav_recoveries,nav_distance_remaining_m
0,0,-0.125,0.015,,reached,succeeded,4,0.074,0.827,0,0.173
0,1,-0.125,2.015,,reached,succeeded,4,16.363,17.191,0,0.046
0,2,1.325,3.165,,reached,succeeded,4,12.662,29.853,0,0.039
0,3,3.075,3.115,,reached,succeeded,4,7.861,37.715,0,0.289
0,4,2.725,2.015,,reached,succeeded,4,13.072,50.787,0,0.072
0,5,0.275,-2.335,,reached,succeeded,4,41.973,92.762,0,0.049
0,6,1.575,-2.335,,reached,succeeded,4,5.664,98.427,0,0.268
0,7,1.925,-3.985,,reached,succeeded,4,13.873,112.302,0,0.058
0,8,3.075,-3.485,,reached,succeeded,4,10.564,122.867,0,0.063
