lap,index,x,y,yaw,result,reason,action_status,duration_sec,wall_elapsed_sec
0,0,1.705,-1.12,,reached,succeeded,4,3.001,3.753
0,1,-0.495,0.13,,missed,goal_timeout,,4.364,8.117
0,2,-0.495,0.68,,missed,goal_timeout,,4.445,12.563
0,3,0.105,0.68,,missed,goal_timeout,,4.43,16.993
0,4,-0.995,4.68,,missed,goal_timeout,,5.204,22.198
0,5,1.105,6.88,,missed,goal_timeout,,5.386,27.585
0,6,3.055,11.23,,missed,goal_timeout,,5.174,32.759
0,7,3.305,13.53,,missed,goal_timeout,,4.7,37.46
0,8,3.555,13.53,,missed,goal_timeout,,4.676,42.137
0,9,3.555,11.38,,missed,mission_timeout,,2.988,45.126
0,10,6.905,5.43,,missed,mission_timeout,,,45.126
0,11,7.505,0.68,,missed,mission_timeout,,,45.126
0,12,11.505,0.68,,missed,mission_timeout,,,45.126
0,13,12.605,0.68,,missed,mission_timeout,,,45.126
0,14,12.555,0.53,,missed,mission_timeout,,,45.126
0,15,11.505,0.43,,missed,mission_timeout,,,45.126
0,16,7.505,0.43,,missed,mission_timeout,,,45.126
0,17,3.555,-3.97,,missed,mission_timeout,,,45.126
0,18,0.855,-7.32,,missed,mission_timeout,,,45.126
0,19,3.555,-11.32,,missed,mission_timeout,,,45.126
0,20,3.555,-12.62,,missed,mission_timeout,,,45.126
0,21,1.155,-11.22,,missed,mission_timeout,,,45.126
0,22,0.955,-11.37,,missed,mission_timeout,,,45.126
0,23,-0.495,-12.47,,missed,mission_timeout,,,45.126
0,24,-0.495,-11.32,,missed,mission_timeout,,,45.126
0,25,-0.495,-7.32,,missed,mission_timeout,,,45.126
0,26,-4.495,-3.47,,missed,mission_timeout,,,45.126
0,27,-7.445,-8.87,,missed,mission_timeout,,,45.126
0,28,-7.195,4.03,,missed,mission_timeout,,,45.126
0,29,-7.445,4.68,,missed,mission_timeout,,,45.126
0,30,-8.495,7.03,,missed,mission_timeout,,,45.126
0,31,-7.495,0.63,,missed,mission_timeout,,,45.126
0,32,-8.495,0.68,,missed,mission_timeout,,,45.126
0,33,-12.445,-0.52,,missed,mission_timeout,,,45.126
0,34,-13.945,-0.47,,missed,mission_timeout,,,45.126
