wall_elapsed_sec,ros_time_sec,current_waypoint,last_status,diagnosis,tf_error,issues,map_x,map_y,map_yaw_deg,odom_x,odom_y,static_value,static_status,global_value,global_status,local_value,local_status,local_plan_points,local_plan_inside,local_plan_free,local_plan_lethal,local_plan_unknown,local_plan_status,global_plan_points,global_plan_inside,global_plan_free,global_plan_lethal,global_plan_unknown,global_plan_status,scan_front_min_m,scan_valid_count,path_error_m,path_error_status,edge_from,edge_to,target_x,target_y,edge_start_x,edge_start_y
12.505,1782026752.089,2,"heading to waypoint #2 (-0.5, 0.1)",ok,,,-0.112,-0.26,94.7,-0.165,-0.27,0,ok,0,ok,0,ok,15,15,15,0,0,ok,15,15,15,0,0,ok,5.218,704,0.168,ok,1,2,-0.495,0.13,0.005,-0.37
13.005,1782026752.589,2,"heading to waypoint #2 (-0.5, 0.1)",ok,,,-0.247,0.092,134.6,-0.297,0.102,0,ok,0,ok,0,ok,15,15,15,0,0,ok,15,15,15,0,0,ok,3.615,691,0.195,ok,1,2,-0.495,0.13,0.005,-0.37
13.505,1782026753.089,3,"heading to waypoint #3 (-0.5, 0.7)",ok,,,-0.365,0.204,139.0,-0.437,0.21,0,ok,0,ok,0,ok,12,12,12,0,0,ok,12,12,12,0,0,ok,3.454,691,0.084,ok,2,3,-0.495,0.68,-0.495,0.13
14.004,1782026753.589,3,"heading to waypoint #3 (-0.5, 0.7)",ok,,,-0.561,0.474,99.2,-0.626,0.472,0,ok,0,ok,0,ok,12,12,12,0,0,ok,12,12,12,0,0,ok,4.558,695,0.154,ok,2,3,-0.495,0.68,-0.495,0.13
14.505,1782026754.089,4,"heading to waypoint #4 (0.1, 0.7)",ok,,,-0.524,0.571,60.2,-0.597,0.58,0,ok,0,ok,0,ok,15,15,15,0,0,ok,15,15,15,0,0,ok,3.243,695,0.093,ok,3,4,0.105,0.68,-0.495,0.68
15.005,1782026754.589,4,"heading to waypoint #4 (0.1, 0.7)",ok,,,-0.283,0.794,27.8,-0.323,0.802,0,ok,0,ok,0,ok,15,15,15,0,0,ok,15,15,15,0,0,ok,2.874,700,0.268,ok,3,4,0.105,0.68,-0.495,0.68
15.505,1782026755.089,4,"heading to waypoint #4 (0.1, 0.7)",ok,,,-0.024,0.821,-19.3,-0.05,0.858,0,ok,0,ok,0,ok,6,6,6,0,0,ok,6,6,6,0,0,ok,4.569,703,0.068,ok,3,4,0.105,0.68,-0.495,0.68
16.005,1782026755.589,5,"heading to waypoint #5 (0.1, 2.7)",ok,,,-0.014,0.836,2.2,-0.05,0.858,0,ok,0,ok,0,ok,38,31,31,0,0,ok,38,38,38,0,0,ok,2.588,704,0.016,ok,4,5,0.105,2.68,0.105,0.68
16.505,1782026756.089,5,"heading to waypoint #5 (0.1, 2.7)",ok,,,0.089,0.969,63.4,0.03,0.979,0,ok,0,ok,0,ok,38,31,31,0,0,ok,38,38,38,0,0,ok,2.515,694,0.115,ok,4,5,0.105,2.68,0.105,0.68
17.005,1782026756.59,5,"heading to waypoint #5 (0.1, 2.7)",ok,,,0.2,1.277,70.9,0.145,1.308,0,ok,0,ok,0,ok,31,31,31,0,0,ok,31,31,31,0,0,ok,4.133,704,0.025,ok,4,5,0.105,2.68,0.105,0.68
17.505,1782026757.089,5,"heading to waypoint #5 (0.1, 2.7)",ok,,,0.28,1.627,76.5,0.236,1.668,0,ok,0,ok,0,ok,31,31,31,0,0,ok,31,31,31,0,0,ok,3.777,712,0.105,ok,4,5,0.105,2.68,0.105,0.68
18.005,1782026757.589,5,"heading to waypoint #5 (0.1, 2.7)",ok,,,0.347,2.01,82.6,0.295,2.067,0,ok,0,ok,0,ok,16,16,16,0,0,ok,16,16,16,0,0,ok,3.172,707,0.031,ok,4,5,0.105,2.68,0.105,0.68
18.504,1782026758.089,5,"heading to waypoint #5 (0.1, 2.7)",ok,,,0.356,2.414,94.0,0.304,2.471,0,ok,0,ok,0,ok,16,16,16,0,0,ok,16,16,16,0,0,ok,4.84,698,0.113,ok,4,5,0.105,2.68,0.105,0.68
19.005,1782026758.589,6,"heading to waypoint #6 (-0.6, 4.3)",ok,,,0.318,2.589,128.4,0.252,2.631,0,ok,0,ok,0,ok,36,31,31,0,0,ok,36,36,36,0,0,ok,3.681,702,0.015,ok,5,6,-0.645,4.33,0.105,2.68
19.505,1782026759.089,6,"heading to waypoint #6 (-0.6, 4.3)",ok,,,0.085,2.901,126.6,0.002,2.93,0,ok,0,ok,0,ok,36,35,35,0,0,ok,36,36,36,0,0,ok,2.993,703,0.026,ok,5,6,-0.645,4.33,0.105,2.68
20.005,1782026759.589,6,"heading to waypoint #6 (-0.6, 4.3)",ok,,,-0.146,3.219,127.5,-0.259,3.245,0,ok,0,ok,0,ok,36,36,36,0,0,ok,36,36,36,0,0,ok,2.583,703,0.03,ok,5,6,-0.645,4.33,0.105,2.68
20.505,1782026760.089,6,"heading to waypoint #6 (-0.6, 4.3)",ok,,,-0.385,3.562,122.7,-0.528,3.583,0,ok,0,ok,0,ok,22,22,22,0,0,ok,22,22,22,0,0,ok,2.174,706,0.135,ok,5,6,-0.645,4.33,0.105,2.68
21.005,1782026760.589,6,"heading to waypoint #6 (-0.6, 4.3)",ok,,,-0.572,3.91,113.2,-0.733,3.924,0,ok,0,ok,0,ok,22,22,22,0,0,ok,22,22,22,0,0,ok,2.213,709,0.135,ok,5,6,-0.645,4.33,0.105,2.68
21.505,1782026761.089,6,"heading to waypoint #6 (-0.6, 4.3)",ok,,,-0.669,4.155,81.7,-0.819,4.166,0,ok,0,ok,0,ok,6,6,6,0,0,ok,6,6,6,0,0,ok,4.321,708,0.048,ok,5,6,-0.645,4.33,0.105,2.68
22.004,1782026761.589,8,"heading to waypoint #8 (-1.0, 4.7)",ok,,,-0.698,4.145,82.4,-0.819,4.166,0,ok,0,ok,0,ok,12,12,12,0,0,ok,12,12,12,0,0,ok,4.321,710,0.03,ok,7,8,-0.995,4.68,-0.695,4.38
22.504,1782026762.089,8,"heading to waypoint #8 (-1.0, 4.7)",ok,,,-0.688,4.503,100.7,-0.815,4.524,0,ok,0,ok,0,ok,12,12,12,0,0,ok,12,12,12,0,0,ok,2.668,713,0.179,ok,7,8,-0.995,4.68,-0.695,4.38
23.005,1782026762.589,9,"heading to waypoint #9 (0.6, 6.4)",ok,,,-0.8,4.684,155.7,-0.91,4.67,0,ok,0,ok,0,ok,45,39,39,0,0,ok,45,45,35,0,0,ok,1.716,705,0.026,ok,8,9,0.605,6.38,-0.995,4.68
23.505,1782026763.089,9,"heading to waypoint #9 (0.6, 6.4)",ok,,,-0.799,4.668,109.9,-0.91,4.67,0,ok,0,ok,0,ok,45,39,39,0,0,ok,45,45,35,0,0,ok,2.02,718,0.027,ok,8,9,0.605,6.38,-0.995,4.68
24.005,1782026763.589,9,"heading to waypoint #9 (0.6, 6.4)",ok,,,-0.705,4.958,64.2,-0.836,4.943,0,ok,0,ok,0,ok,45,45,45,0,0,ok,45,45,35,0,0,ok,3.555,718,0.17,ok,8,9,0.605,6.38,-0.995,4.68
24.505,1782026764.089,9,"heading to waypoint #9 (0.6, 6.4)",ok,,,-0.507,5.314,54.8,-0.624,5.299,0,ok,48,ok,0,ok,42,42,42,0,0,ok,42,42,35,0,0,ok,3.213,718,0.239,ok,8,9,0.605,6.38,-0.995,4.68
25.005,1782026764.589,9,"heading to waypoint #9 (0.6, 6.4)",pose_global_lethal_static_free,,"pose_global_lethal,pose_global_lethal_static_free",-0.264,5.594,40.2,-0.365,5.575,0,ok,99,ok,0,ok,42,42,42,0,0,ok,42,42,35,0,0,ok,2.787,714,0.503,ok,8,9,0.605,6.38,-0.995,4.68
