idx,wall_time,tf_stamp,gps_rel_x,gps_rel_y,estimate_x,estimate_y,truth_yaw_deg,estimate_yaw_deg,direct_error_m,aligned_error_m,heading_error_deg,yaw_error_deg,event
0,1782016323.3172417,19.96,0.033492082180259786,-4.51919388408939e-05,0.024971412828804822,0.0002103092247874766,0.6006395914828035,0.6006395914828037,0.00852449922525889,0.65139930545031,,9.93923337957349e-17,
1,1782016324.335891,20.96,0.24413991737872465,0.008831382609843175,0.23532623402764297,0.011823441106868294,6.370939605969659,6.473560041536896,0.009307708002658583,0.5961850427662457,,0.10262043556723646,
2,1782016325.3541136,21.96,0.4505304803228327,0.04256972478866228,0.43157125787833894,0.047698558075272894,12.934591748176064,12.380727601095428,0.01964069872946585,0.543008247739415,,0.5538641470806368,
3,1782016326.380268,22.96,0.6481571193613433,0.09916197578881292,0.6284561005159174,0.10540450252221766,22.822191796457552,21.72401013527242,0.020666380514378947,0.4895168431564208,,1.0981816611851323,
4,1782016327.3921137,23.96,0.8367412881042853,0.18794761796158443,0.8267912618558578,0.17427894598682916,29.703126629366835,28.898441830202696,0.016906673708859923,0.41735016290470106,,0.8046847991641375,
5,1782016328.389795,24.96,1.0078590617507928,0.2982491085566421,0.997247594883694,0.285656093065274,39.79247902294875,39.24279035018433,0.016467764518518366,0.3747832984531243,,0.5496886727644225,
6,1782016329.414281,25.96,1.1387801546700587,0.44009944908663634,1.1565490798189262,0.41809158737764385,57.843473801796,55.494557356384796,0.028285697409613127,0.3435119867608574,,2.3489164454112017,
7,1782016329.9320922,26.48,1.174837281823578,0.4967972012263253,1.2142880458276564,0.4822390661043385,67.91523836400404,65.53896247061543,0.042051184034882026,0.3537782488969043,0.36928206269922664,2.376275893388608,
8,1782016330.4477828,26.96,1.17480816723252,0.49676575497797426,1.2142880458276564,0.4822390661043385,67.98291625997047,65.53896247061543,0.042067630115305135,0.35382067001036066,0.5296252789513536,2.4439537893550307,
9,1782016330.956064,27.48,1.172098330016624,0.49801123285298754,1.21428599815566,0.48224009832201653,63.71952427362749,60.60037027397906,0.045039183245296814,0.3543486735266751,0.013679175809883612,3.119153999648432,
10,1782016331.472636,27.96,1.16492154634156,0.5032380823864688,1.2142799832986697,0.4822447024637992,47.56106518831913,44.449839036330346,0.05363746171684966,0.35431441964266913,1.4867708021561963,3.1112261519887823,
11,1782016331.9732006,28.48,1.1594880043949303,0.5104878420230126,1.2142740707196582,0.48225288853257714,28.305963557097403,26.564126756620148,0.061633802916455996,0.35183832694208245,,1.7418368004772549,
12,1782016332.4987059,28.96,1.1564443569227336,0.5190213629588429,1.2142725372212633,0.4822577165125214,11.805283460321798,10.013169124649528,0.06852491617411423,0.34707046213125275,,1.7921143356722697,
13,1782016333.0030107,29.48,1.2296266391113164,0.5298623509102312,1.2854972416721457,0.48276437165578606,-2.5853430085267854,-5.002820662420527,0.07307355116841037,0.32153680101740423,,2.4174776538937413,
