edge,from_x,from_y,to_x,to_y,path_cells,geodesic_m,min_clearance_m,shortfall_integral_m2,low_clearance_cells
0,1.705,-1.12,0.005,-0.37,35,2.011,2.192,0.0,0
1,0.005,-0.37,-0.495,0.13,11,0.707,2.22,0.0,0
2,-0.495,0.13,-0.495,0.68,12,0.55,2.018,0.0,0
3,-0.495,0.68,0.105,0.68,13,0.6,2.018,0.0,0
4,0.105,0.68,0.105,2.68,41,2.0,1.95,0.0,0
5,0.105,2.68,-0.695,4.38,35,2.031,1.346,0.0,0
6,-0.695,4.38,-0.995,4.68,7,0.424,1.226,0.0,0
7,-0.995,4.68,0.605,6.38,43,2.597,0.35,0.4473,29
8,0.605,6.38,1.105,6.88,11,0.707,0.763,0.0,0
9,1.105,6.88,1.355,7.68,17,0.904,0.763,0.0,0
10,1.355,7.68,2.055,9.93,46,2.54,0.35,0.62006,43
11,2.055,9.93,3.055,11.23,27,1.714,0.75,0.0,0
12,3.055,11.23,3.305,13.13,39,2.004,0.95,0.0,0
13,3.305,13.13,3.305,13.53,9,0.4,1.242,0.0,0
14,3.305,13.53,3.555,13.53,6,0.25,1.282,0.0,0
15,3.555,13.53,3.555,11.53,41,2.0,0.7,0.01789,11
16,3.555,11.53,3.555,11.38,4,0.15,1.061,0.0,0
17,3.555,11.38,3.305,9.63,36,1.854,0.762,0.0,0
18,3.305,9.63,3.805,3.93,145,7.904,0.35,2.09628,134
19,3.805,3.93,5.005,4.33,25,1.366,0.75,0.0,0
20,5.005,4.33,6.655,5.18,34,2.002,0.35,0.42485,31
21,6.655,5.18,6.905,5.43,6,0.354,0.851,0.0,0
22,6.905,5.43,4.405,4.88,51,2.728,0.35,0.50189,39
23,4.405,4.88,2.705,3.53,35,2.259,0.35,0.37466,31
24,2.705,3.53,2.455,3.28,6,0.354,0.752,0.0,0
25,2.455,3.28,5.605,0.88,105,5.925,0.35,1.67857,103
26,5.605,0.88,7.505,0.68,39,1.983,0.781,0.0,0
27,7.505,0.68,9.505,0.68,41,2.0,1.834,0.0,0
28,9.505,0.68,11.505,0.68,41,2.0,2.482,0.0,0
29,11.505,0.68,12.605,0.68,23,1.1,2.706,0.0,0
30,12.605,0.68,12.555,0.53,4,0.171,3.182,0.0,0
31,12.555,0.53,11.505,0.43,22,1.091,2.878,0.0,0
32,11.505,0.43,9.505,0.43,41,2.0,2.532,0.0,0
33,9.505,0.43,7.505,0.43,41,2.0,2.072,0.0,0
34,7.505,0.43,5.655,0.13,38,1.974,1.23,0.0,0
35,5.655,0.13,5.305,-0.22,8,0.495,0.776,0.0,0
36,5.305,-0.22,3.705,-3.37,64,3.813,0.35,0.75961,61
37,3.705,-3.37,3.555,-3.97,13,0.662,0.765,0.0,0
38,3.555,-3.97,2.605,-5.57,33,1.994,1.101,0.0,0
39,2.605,-5.57,1.205,-6.97,29,1.98,1.803,0.0,0
40,1.205,-6.97,0.855,-7.32,8,0.495,2.704,0.0,0
41,0.855,-7.32,1.355,-9.12,37,2.007,2.974,0.0,0
42,1.355,-9.12,2.755,-10.52,29,1.98,2.797,0.0,0
43,2.755,-10.52,3.555,-11.32,17,1.131,2.482,0.0,0
44,3.555,-11.32,3.555,-12.62,27,1.3,2.482,0.0,0
45,3.555,-12.62,1.855,-11.92,35,1.99,3.1,0.0,0
46,1.855,-11.92,1.155,-11.22,15,0.99,3.8,0.0,0
47,1.155,-11.22,0.955,-11.37,5,0.262,4.353,0.0,0
48,0.955,-11.37,-0.495,-12.47,30,1.906,3.289,0.0,0
49,-0.495,-12.47,-0.495,-11.32,24,1.15,2.957,0.0,0
50,-0.495,-11.32,-0.495,-9.32,41,2.0,2.372,0.0,0
51,-0.495,-9.32,-0.495,-7.32,41,2.0,1.787,0.0,0
52,-0.495,-7.32,-0.495,-5.32,41,2.0,1.202,0.0,0
53,-0.495,-5.32,-0.495,-3.82,31,1.5,0.762,0.0,0
54,-0.495,-3.82,-2.395,-1.92,66,3.561,0.35,0.8382,61
55,-2.395,-1.92,-3.995,-2.97,33,2.035,0.778,0.0,0
56,-3.995,-2.97,-4.495,-3.47,11,0.707,1.273,0.0,0
57,-4.495,-3.47,-5.145,-4.07,14,0.899,0.752,0.0,0
58,-5.145,-4.07,-7.145,-8.57,91,5.743,0.35,1.29899,89
59,-7.145,-8.57,-7.445,-8.87,7,0.424,0.75,0.0,0
60,-7.445,-8.87,-7.095,-8.47,9,0.545,0.778,0.0,0
61,-7.095,-8.47,-5.195,-4.07,89,5.601,0.35,1.53678,87
62,-5.195,-4.07,-5.045,-2.87,25,1.262,0.75,0.0,0
63,-5.045,-2.87,-4.095,0.03,59,3.459,0.35,0.84879,57
64,-4.095,0.03,-5.495,1.43,29,1.98,0.762,0.0,0
65,-5.495,1.43,-6.295,3.13,35,2.031,0.35,0.44058,31
66,-6.295,3.13,-7.195,4.03,19,1.273,0.82,0.0,0
67,-7.195,4.03,-7.445,4.68,14,0.754,1.838,0.0,0
68,-7.445,4.68,-7.945,6.48,37,2.007,0.885,0.0,0
69,-7.945,6.48,-8.495,7.03,12,0.778,0.802,0.0,0
70,-8.495,7.03,-8.495,5.03,41,2.0,0.8,0.0,0
71,-8.495,5.03,-8.495,3.03,41,2.0,0.8,0.0,0
72,-8.495,3.03,-7.845,1.33,35,1.969,0.8,0.0,0
73,-7.845,1.33,-7.495,0.63,15,0.845,1.45,0.0,0
74,-7.495,0.63,-8.495,0.68,21,1.021,0.825,0.0,0
75,-8.495,0.68,-11.945,-0.02,70,3.74,0.35,0.9071,66
76,-11.945,-0.02,-12.445,-0.52,11,0.707,0.757,0.0,0
77,-12.445,-0.52,-13.945,-0.47,31,1.521,1.312,0.0,0
