object_index,object_name,type,kind,samples,inside,near_occupied,coverage_inside,mean_distance_to_occupied_m,max_distance_to_occupied_m,occupied_samples,free_samples,unknown_samples,outside_samples
2,,PicketFence,fence,29,29,9,0.3103448275862069,0.9844611189874052,2.7390691849604676,0,1,28,0
1,,PicketFence,fence,29,29,29,1.0,0.05597041506881751,0.4,11,8,10,0
3,,PicketFence,fence,22,22,22,1.0,0.054524329056624035,0.158113883008419,1,21,0,0
4,,PicketFence,fence,22,22,22,1.0,0.036915092470725656,0.07071067811865477,7,15,0,0
8,,StreetLight,obstacle,1,1,0,0.0,0.6363961030678928,0.6363961030678928,0,1,0,0
11,,StoneBench,obstacle,1,1,0,0.0,0.632455532033676,0.632455532033676,0,1,0,0
17,,TrafficCone,obstacle,1,1,0,0.0,1.1423659658795864,1.1423659658795864,0,0,1,0
19,,TrafficCone,obstacle,1,1,0,0.0,0.8845903006477066,0.8845903006477066,0,1,0,0
5,,StreetLight,obstacle,1,1,1,1.0,0.1118033988749895,0.1118033988749895,0,1,0,0
6,,StreetLight,obstacle,1,1,1,1.0,0.05,0.05,0,1,0,0
7,,StreetLight,obstacle,1,1,1,1.0,0.0,0.0,1,0,0,0
9,,Bench,obstacle,1,1,1,1.0,0.1118033988749895,0.1118033988749895,0,1,0,0
10,,Bench,obstacle,1,1,1,1.0,0.05,0.05,0,1,0,0
12,,PublicBin,obstacle,1,1,1,1.0,0.1,0.1,0,1,0,0
13,,Cypress,obstacle,1,1,1,1.0,0.3905124837953327,0.3905124837953327,0,0,1,0
14,,Cypress,obstacle,1,1,1,1.0,0.40311288741492746,0.40311288741492746,0,0,1,0
15,,Cypress,obstacle,1,1,1,1.0,0.3640054944640259,0.3640054944640259,0,0,1,0
16,,PalmTree,obstacle,1,1,1,1.0,0.18027756377319948,0.18027756377319948,0,1,0,0
18,,TrafficCone,obstacle,1,1,1,1.0,0.3640054944640259,0.3640054944640259,0,0,1,0
20,,TrafficCone,obstacle,1,1,1,1.0,0.21213203435596426,0.21213203435596426,0,1,0,0
