idx,wall_time,tf_stamp,gps_rel_x,gps_rel_y,estimate_x,estimate_y,direct_error_m,aligned_error_m,heading_error_deg,event
0,1782014571.203561,19.48,0.0,0.0,0.0,0.0,0.0,2.2224536418297776,,
1,1782014571.7186658,19.96,0.0,0.0,0.0,0.0,0.0,2.2224536418297776,,
2,1782014572.7580094,20.96,0.10852346378825217,0.0005328087175051621,0.09978179609028903,0.0009109386468156566,0.008749842077720749,2.2274697788922633,,
3,1782014573.2795904,21.48,0.21814498973342467,0.0014966019673678943,0.21365134947451206,0.0023037908374315577,0.0045655620298573115,2.220729884152266,,
4,1782014573.786656,21.96,0.3266872066225588,0.0024912934843781542,0.31819133461283705,0.003908434938708376,0.00861325322437199,2.2231796014358296,,
5,1782014574.296727,22.48,0.4321427500218391,0.007298406264235169,0.42741180255570177,0.010345545194400022,0.005627336811234732,2.2207909947294824,,
6,1782014574.8117259,22.96,0.5403116962180121,0.016611580661605174,0.5309059752321886,0.019852096035066175,0.009948292675067284,2.2292289048072327,,
7,1782014575.8091075,23.96,0.7527763839254646,0.04220601106973554,0.7232612266073599,0.03502387177340933,0.030376432252394354,2.259329416571493,,
8,1782014576.3239539,24.48,0.8559271715388803,0.06130672206801524,0.8305198027017904,0.05493963717030439,0.026193017415307204,2.2658608359377186,,
9,1782014576.8340063,24.96,0.9589559362792741,0.08527884356986082,0.9293669407265844,0.07771476794559737,0.03054052877516475,2.2826893499252607,,
10,1782014577.3367116,25.48,1.0544419902277227,0.11234387474742213,1.0287615390069662,0.10787839584319481,0.02606580282181524,2.2948270668108126,0.10666316111901143,
11,1782014577.855734,25.96,1.1315853836563505,0.14765370503808128,1.1002309067421245,0.14643689813555824,0.03137807899796861,2.3194841697037116,0.29646248527119506,
12,1782014578.3605635,26.48,1.1749150266365405,0.17952825782109105,1.1828938904086368,0.194531090634275,0.016992564830360973,2.3032403380591076,0.5935025110224751,
13,1782014578.8899763,26.96,1.186496549807039,0.19044119140357463,1.193333678486003,0.20858342176254638,0.01938780160231446,2.310597758698699,,
